Words,Chars,Task A w/ gender,Task A w/o gender,Task B
"(3, 3)","(2, 3)",58.1749049429658,60.8365019011407,24.3346007604563
"(5, 5)","(2, 3)",57.7946768060837,60.8365019011407,20.9125475285171
"(5, 5)","(4, 5)",53.6121673003802,60.4562737642585,15.5893536121673
"(4, 4)","(4, 4)",55.893536121673,60.0760456273764,16.3498098859316
"(4, 4)","(3, 5)",55.893536121673,60.0760456273764,15.2091254752852
"(4, 5)","(3, 3)",58.1749049429658,59.6958174904943,23.1939163498099
"(3, 3)","(3, 3)",57.7946768060837,59.6958174904943,26.2357414448669
"(4, 5)","(3, 7)",57.4144486692015,59.6958174904943,13.3079847908745
"(5, 5)","(2, 4)",57.0342205323194,59.6958174904943,19.0114068441065
"(3, 3)","(3, 7)",56.2737642585551,59.6958174904943,17.4904942965779
"(4, 5)","(4, 4)",55.893536121673,59.6958174904943,15.9695817490494
"(4, 4)","(4, 5)",55.5133079847909,59.6958174904943,14.828897338403
"(3, 5)","(3, 5)",55.1330798479088,59.6958174904943,15.5893536121673
"(4, 5)","(4, 5)",55.1330798479088,59.6958174904943,14.828897338403
"(3, 5)","(4, 4)",54.7528517110266,59.6958174904943,17.1102661596958
"(5, 5)","(2, 7)",54.7528517110266,59.6958174904943,14.0684410646388
"(5, 5)","(3, 7)",54.7528517110266,59.6958174904943,13.6882129277567
"(5, 5)","(4, 4)",54.3726235741445,59.6958174904943,16.3498098859316
"(3, 4)","(4, 4)",54.3726235741445,59.6958174904943,15.9695817490494
"(5, 5)","(3, 5)",53.6121673003802,59.6958174904943,15.5893536121673
"(5, 5)","(3, 6)",53.6121673003802,59.6958174904943,15.2091254752852
"(5, 5)","(4, 6)",53.6121673003802,59.6958174904943,14.4486692015209
"(4, 4)","(3, 3)",58.1749049429658,59.3155893536122,23.574144486692
"(2, 4)","(2, 3)",57.7946768060837,59.3155893536122,22.8136882129278
"(3, 5)","(2, 4)",57.7946768060837,59.3155893536122,19.3916349809886
"(3, 3)","(2, 4)",57.4144486692015,59.3155893536122,20.9125475285171
"(1, 1)","(3, 4)",57.0342205323194,59.3155893536122,22.8136882129278
"(2, 5)","(2, 3)",57.0342205323194,59.3155893536122,22.8136882129278
"(3, 5)","(3, 4)",57.0342205323194,59.3155893536122,20.9125475285171
"(4, 4)","(2, 7)",57.0342205323194,59.3155893536122,14.0684410646388
"(4, 4)","(3, 7)",56.6539923954373,59.3155893536122,13.6882129277567
"(4, 5)","(2, 7)",56.6539923954373,59.3155893536122,13.6882129277567
"(4, 5)","(4, 6)",56.2737642585551,59.3155893536122,14.0684410646388
"(2, 4)","(3, 3)",55.893536121673,59.3155893536122,26.2357414448669
"(2, 5)","(3, 3)",55.893536121673,59.3155893536122,25.8555133079848
"(4, 5)","(3, 6)",55.893536121673,59.3155893536122,14.4486692015209
"(3, 5)","(2, 7)",55.893536121673,59.3155893536122,14.0684410646388
"(2, 3)","(3, 3)",55.5133079847909,59.3155893536122,28.1368821292776
"(3, 5)","(2, 5)",55.5133079847909,59.3155893536122,15.9695817490494
"(4, 4)","(2, 6)",55.5133079847909,59.3155893536122,14.0684410646388
"(2, 5)","(3, 7)",55.1330798479088,59.3155893536122,16.3498098859316
"(3, 4)","(4, 5)",54.7528517110266,59.3155893536122,15.9695817490494
"(2, 3)","(2, 4)",54.3726235741445,59.3155893536122,24.7148288973384
"(5, 5)","(2, 5)",54.3726235741445,59.3155893536122,15.2091254752852
"(4, 4)","(3, 6)",54.3726235741445,59.3155893536122,14.4486692015209
"(5, 5)","(5, 6)",53.9923954372624,59.3155893536122,14.4486692015209
"(5, 5)","(2, 6)",53.6121673003802,59.3155893536122,14.828897338403
"(2, 5)","(6, 6)",53.2319391634981,59.3155893536122,18.2509505703422
"(5, 5)","(4, 7)",52.851711026616,59.3155893536122,14.0684410646388
"(4, 5)","(2, 3)",58.93536121673,58.93536121673,21.6730038022814
"(5, 5)","(2, 2)",58.1749049429658,58.93536121673,19.0114068441065
"(3, 4)","(2, 3)",57.7946768060837,58.93536121673,23.9543726235741
"(1, 5)","(2, 3)",57.7946768060837,58.93536121673,21.2927756653992
"(4, 4)","(2, 4)",57.7946768060837,58.93536121673,18.6311787072243
"(3, 4)","(3, 3)",57.4144486692015,58.93536121673,25.8555133079848
"(3, 5)","(2, 3)",57.4144486692015,58.93536121673,23.9543726235741
"(4, 5)","(3, 5)",56.6539923954373,58.93536121673,15.5893536121673
"(1, 1)","(3, 3)",56.2737642585551,58.93536121673,23.9543726235741
"(4, 5)","(2, 6)",56.2737642585551,58.93536121673,14.0684410646388
"(3, 5)","(3, 7)",56.2737642585551,58.93536121673,13.6882129277567
"(5, 5)","(3, 3)",55.893536121673,58.93536121673,22.4334600760456
"(1, 5)","(4, 4)",55.893536121673,58.93536121673,19.7718631178707
"(5, 5)","(3, 4)",55.893536121673,58.93536121673,18.2509505703422
"(3, 4)","(3, 7)",55.893536121673,58.93536121673,15.2091254752852
