1121780267591450000,kristen buter,Just saw a FB ad for an event in Toronto with Rachel Hollis and Tony Robbins. Am I the only one who remember Tony Robbins and his whole attitude on the #MeToo movement? How does this pairing even make sense? How is this guy still remotely relevant?
1121780129489880000,Ellie Spadaccini,"On journalism in the #MeToo movement @karaswisher says ""This is one of these stories that was hiding in plain sight. Everybody knew"" #UWEthics #power #gender"
1121777052141670000,Emilie Burditt,"The keynote conversation with Swisher is titled The View from Silicon Valley: Gender, Journalism &amp; Tech, and will begin at 9am! Stay tuned for updates on what @karaswisher has to say on the #MeToo movement in journalism #UWEthics #ethicaljournalism"
1121776096926750000,Quillette,"""Police and prosecutors cannot let the politics of #MeToo, or any other political movement, interfere with their mandate. In this regard, this case presents an example of authorities getting things right,"" writes @d2davison. https://t.co/UQHKwEtDOK"
1121776024814070000,Savage Brands,"""Brand reputation often hinges on whether a company actually delivers on what it promises consumers."" Everything from data breaches to the #MeToo movement impacts how the world sees your company. Purposeful leaders know this, which is why Purpose is #1. 

https://t.co/vYaN5fB3ev"
1121775460344630000,Book of Katherine,"Can the #MeToo movement please explain this to me? When I received my training on #SexualHarrassment, everything this Female Comedian does to this Gay Man &amp; athlete is illegal. I'm horrified for him. Someone explain. Now. https://t.co/h2aEaRus4D"
1121774848664010000,New Horizons,"This month we held an event with academics and grassroots orgs to discuss what the #MeToo movement meant for Muslim Women.

The conversations were personal, deep and complex and there were lots of learnings that came from it.

📖Please read and share: https://t.co/dbYG0KGrfh https://t.co/srnXd4XDIJ"
1121765118889620000,Emily Savors,"As a woman and a member of the #metoo movement, I do not want to get to a space where people are afraid to touch each other. Touch, along with smiles, kind words, and more—so important."
1121764699291440000,Chamber Plan Ontario,"Dealing with romance in the workplace
This year, the discussion may have a very different tone in light of the #metoo movement https://t.co/EwFulxoskE https://t.co/Fv1EvozDht"
1121761596697670000,The Party Somewhere Else,"2017: #MeToo explodes &amp; @TIMESUPUK movement is born. Someone resigns from government for “touching someones knee”. A new wave of #feminism begins... 2019: The dust has settled... 
Stupid and poignant &amp; quite funny #Nottingham
https://t.co/oaaum7P9UJ https://t.co/2QvozoUyyZ"
1121761006416470000,Law360,How is the #MeToo movement affecting organized labor? https://t.co/5xuO0x8Qeq https://t.co/sT7MDgZWNp
1121760884441990000,EBONY MAGAZINE,"The results are in! The #MeToo movement is arguably one of the country’s most impactful and publicized movements in recent times. Take a look at feedback on the movement through the Black lens! #EBONYAttitudes  

https://t.co/hx5ctOMZA8"
1121760861754940000,Fee fee,It’s official. I no longer have any faith in the #metoo movement. It wasn’t set up to support women but to advance rich white women at the cost of the pain and suffering of those they consider below them and to allow them to cover up their own digressions. Metoo is dead.
1121759486933370000,charles benjamin,"Why JOE ""FEELIN'"" BIDEN won't win Democrat nomination:
Needs to win over party members than are radical left
Touchy-feely behavior KO by #MeToo Movement
Self-confessed gaffe machine
Escape long poor decisions on record
Turns 78 days after 2020 election

However, FAVORED TO WIN!!"
1121757973246820000,Abdulaziz Alghunaim,There should be a national social movement against racism that follows the same structure as #metoo where black people could come out and tell their stories publicly. That would make a huge impact https://t.co/1C033DVyO9
1121756047344130000,Phil Albion,"Liberals have long feared that conservatives would make use of the #MeToo movement to attack Democratic politicians, and the first allegation against Fairfax did come to light through conservative media. https://t.co/ggvjXMgqcB"
